Complexity;Time in ms;Count
11;0.045;2
17;0.032;2
23;0.018;2
29;0.025;2
35;0.028;2
41;0.034;2
47;0.034;2
53;0.048;2
59;0.037;2
65;0.048;2
71;0.045;2
77;0.049;2
83;0.048;2
89;0.056;2
95;0.058;2
101;0.064;2
107;0.064;2
113;0.08;2
119;0.073;2
125;0.084;2
131;0.096;2
137;0.094;2
143;0.099;2
149;0.086;2
155;0.088;2
161;0.107;2
167;0.098;2
173;0.099;2
179;0.105;2
185;0.113;2
191;0.108;2
197;0.118;2
203;0.039;2
209;0.029;2
215;0.061;2
221;0.03;2
227;0.034;2
233;0.026;2
239;0.034;2
245;0.035;2
251;0.036;2
257;0.036;2
263;0.039;2
269;0.043;2
275;0.039;2
281;0.049;2
287;0.035;2
293;0.035;2
299;0.042;2
305;0.049;2
311;0.046;2
317;0.044;2
323;0.044;2
329;0.044;2
335;0.042;2
341;0.049;2
347;0.053;2
353;0.05;2
359;0.048;2
365;0.049;2
371;0.052;2
377;0.053;2
383;0.058;2
389;0.06;2
395;0.057;2
401;0.056;2
407;0.062;2
413;0.069;2
419;0.069;2
425;0.066;2
431;0.061;2
437;0.062;2
443;0.063;2
449;0.061;2
455;0.066;2
461;0.066;2
467;0.068;2
473;0.097;2
479;0.064;2
485;0.072;2
491;0.064;2
497;0.072;2
503;0.077;2
509;0.064;2
515;0.077;2
521;0.083;2
527;0.076;2
533;0.08;2
539;0.065;2
545;0.087;2
551;0.076;2
557;0.079;2
563;0.085;2
569;0.102;2
575;0.083;2
581;0.087;2
587;0.087;2
593;0.081;2
599;0.075;2
605;0.099;2
611;0.093;2
617;0.087;2
623;0.087;2
629;0.083;2
635;0.087;2
641;0.086;2
647;0.086;2
653;0.094;2
659;0.094;2
665;0.093;2
671;0.091;2
677;0.093;2
683;0.087;2
689;0.091;2
695;0.09;2
701;0.09;2
707;0.099;2
713;0.084;2
719;0.094;2
725;0.1;2
731;0.11;2
737;0.12;2
743;0.106;2
749;0.12;2
755;0.12;2
761;0.103;2
767;0.099;2
773;0.117;2
779;0.101;2
785;0.11;2
791;0.102;2
797;0.115;2
803;0.109;2
809;0.124;2
815;0.112;2
821;0.112;2
827;0.12;2
833;0.126;2
839;0.126;2
845;0.127;2
851;0.112;2
857;0.117;2
863;0.116;2
869;0.118;2
875;0.106;2
881;0.12;2
887;0.119;2
893;0.128;2
899;0.122;2
905;0.114;2
911;0.362;2
917;0.252;2
923;0.222;2
929;0.25;2
935;0.247;2
941;0.267;2
947;0.216;2
953;0.21;2
959;0.256;2
965;0.23;2
971;0.251;2
977;0.23;2
983;0.248;2
989;0.219;2
995;0.242;2
1001;0.22;2
1007;0.232;2
1013;0.25;2
1019;0.263;2
1025;0.15;2
1031;0.194;2
1037;0.211;2
1043;0.179;2
1049;0.16;2
1055;0.199;2
1061;0.193;2
1067;0.185;2
1073;0.157;2
1079;0.137;2
1085;0.227;2
1091;0.167;2
1097;0.207;2
1103;0.224;2
1109;0.218;2
1115;0.256;2
1121;0.223;2
1127;0.233;2
1133;0.195;2
1139;0.187;2
1145;0.178;2
1151;0.193;2
1157;0.188;2
1163;0.205;2
1169;0.199;2
1175;0.201;2
1181;0.5;2
1187;0.194;2
1193;0.201;2
1199;0.176;2
1205;0.192;2
1211;0.268;2
1217;0.228;2
1223;0.218;2
1229;0.284;2
