Complexity;Time in ms;Count
11;0.057;2
17;0.029;2
23;0.024;2
29;0.015;2
35;0.031;2
41;0.037;2
47;0.026;2
53;0.038;2
59;0.03;2
65;0.053;2
71;0.043;2
77;0.032;2
83;0.049;2
89;0.05;2
95;0.066;2
101;0.106;2
107;0.063;2
113;0.067;2
119;0.055;2
125;0.063;2
131;0.063;2
137;0.069;2
143;0.08;2
149;0.078;2
155;0.08;2
161;0.02;2
167;0.02;2
173;0.022;2
179;0.026;2
185;0.02;2
191;0.019;2
197;0.02;2
203;0.018;2
209;0.023;2
215;0.024;2
221;0.024;2
227;0.025;2
233;0.023;2
239;0.021;2
245;0.023;2
251;0.029;2
257;0.033;2
263;0.035;2
269;0.03;2
275;0.027;2
281;0.036;2
287;0.03;2
293;0.033;2
299;0.029;2
305;0.027;2
311;0.044;2
317;0.036;2
323;0.038;2
329;0.03;2
335;0.039;2
341;0.037;2
347;0.033;2
353;0.049;2
359;0.043;2
365;0.035;2
371;0.045;2
377;0.052;2
383;0.039;2
389;0.062;2
395;0.057;2
401;0.041;2
407;0.044;2
413;0.051;2
419;0.032;2
425;0.048;2
431;0.05;2
437;0.051;2
443;0.058;2
449;0.063;2
455;0.049;2
461;0.062;2
467;0.048;2
473;0.046;2
479;0.055;2
485;0.058;2
491;0.06;2
497;0.079;2
503;0.054;2
509;0.079;2
515;0.047;2
521;0.067;2
527;0.058;2
533;0.07;2
539;0.053;2
545;0.069;2
551;0.068;2
557;0.058;2
563;0.059;2
569;0.043;2
575;0.066;2
581;0.07;2
587;0.066;2
593;0.052;2
599;0.062;2
605;0.064;2
611;0.065;2
617;0.046;2
623;0.053;2
629;0.077;2
635;0.056;2
641;0.063;2
647;0.063;2
653;0.073;2
659;0.082;2
665;0.068;2
671;0.071;2
677;0.076;2
683;0.088;2
689;0.09;2
695;0.072;2
701;0.156;2
707;0.117;2
713;0.06;2
719;0.127;2
725;0.104;2
731;0.091;2
737;0.087;2
743;0.12;2
749;0.057;2
755;0.103;2
761;0.099;2
767;0.115;2
773;0.093;2
779;0.11;2
785;0.122;2
791;0.119;2
797;0.125;2
803;0.127;2
809;0.164;2
815;0.134;2
821;0.079;2
827;0.124;2
833;0.164;2
839;0.124;2
845;0.13;2
851;0.093;2
857;0.105;2
863;0.205;2
869;0.125;2
875;0.123;2
881;0.129;2
887;0.143;2
893;0.136;2
899;0.092;2
905;0.029;2
911;0.021;2
917;0.015;2
923;0.024;2
929;0.021;2
935;0.021;2
941;0.018;2
947;0.022;2
953;0.021;2
959;0.016;2
965;0.021;2
971;0.021;2
977;0.022;2
983;0.015;2
989;0.022;2
995;0.019;2
1001;0.019;2
1007;0.014;2
1013;0.017;2
1019;0.019;2
1025;0.018;2
1031;0.022;2
1037;0.021;2
