Complexity;Time in ms;Count
11;0.195;2
17;0.218;2
23;0.308;2
29;0.364;2
35;0.436;2
41;0.488;2
47;0.552;2
53;0.621;2
59;0.689;2
65;0.634;2
71;0.648;2
77;0.705;2
83;0.712;2
89;0.705;2
95;0.549;2
101;0.482;2
107;0.416;2
113;0.344;2
119;0.289;2
125;0.312;2
131;0.323;2
137;0.346;2
143;0.358;2
149;0.382;2
155;0.396;2
161;0.403;2
167;0.428;2
173;0.44;2
179;0.415;2
185;0.372;2
191;0.341;2
197;0.266;2
203;0.279;2
209;0.295;2
215;0.293;2
221;0.3;2
227;0.322;2
233;0.32;2
239;0.337;2
245;0.507;2
251;0.682;2
257;0.734;2
263;0.523;2
269;0.68;2
275;0.396;2
281;0.405;2
287;0.391;2
293;0.402;2
299;0.415;2
305;0.441;2
311;0.412;2
317;0.425;2
323;0.435;2
329;0.444;2
335;0.461;2
341;0.483;2
347;0.475;2
353;0.482;2
359;0.492;2
365;0.494;2
371;0.488;2
377;0.509;2
383;0.519;2
389;0.536;2
395;0.532;2
401;0.535;2
407;0.539;2
413;3;2
419;0.492;2
425;0.568;2
431;4.647;2
437;0.53;2
443;0.516;2
449;0.566;2
455;0.484;2
461;0.494;2
467;0.491;2
473;0.501;2
479;0.514;2
485;0.552;2
491;0.58;2
497;0.526;2
503;0.602;2
509;0.605;2
515;0.542;2
521;0.548;2
527;0.63;2
533;0.57;2
539;0.657;2
545;0.579;2
551;0.609;2
557;0.508;2
563;0.219;2
569;0.226;2
575;0.209;2
581;0.212;2
587;0.216;2
593;0.225;2
599;0.223;2
605;0.224;2
611;0.23;2
617;0.22;2
623;0.226;2
629;0.224;2
635;0.254;2
641;0.249;2
647;0.279;2
653;0.255;2
659;0.266;2
665;0.274;2
671;0.349;2
677;0.661;2
683;0.585;2
689;0.611;2
695;0.511;2
701;0.989;2
707;0.773;2
713;0.755;2
719;0.723;2
725;0.682;2
731;0.668;2
737;0.697;2
743;0.714;2
749;0.748;2
755;0.74;2
761;0.758;2
767;0.785;2
773;0.743;2
779;0.812;2
785;2.366;2
791;0.481;2
797;0.452;2
803;0.465;2
809;0.409;2
815;0.415;2
821;0.42;2
827;0.423;2
833;0.427;2
839;0.457;2
845;3.641;2
851;0.31;2
857;0.314;2
863;0.316;2
869;0.314;2
875;0.321;2
881;0.4;2
887;0.367;2
893;0.36;2
899;0.344;2
905;0.341;2
911;0.336;2
917;0.35;2
923;0.337;2
929;0.342;2
935;0.35;2
941;0.346;2
947;0.347;2
953;0.359;2
959;0.351;2
965;0.375;2
971;0.354;2
977;0.358;2
983;0.381;2
989;0.46;2
995;0.468;2
1001;0.384;2
1007;0.399;2
1013;0.443;2
1019;0.393;2
1025;0.403;2
1031;0.4;2
1037;0.38;2
1043;0.406;2
1049;0.519;2
1055;0.542;2
1061;0.447;2
1067;0.388;2
1073;0.411;2
1079;0.421;2
1085;0.407;2
1091;0.421;2
1097;0.448;2
1103;0.434;2
1109;0.433;2
1115;0.438;2
1121;0.446;2
1127;0.436;2
1133;0.41;2
1139;0.417;2
1145;0.418;2
1151;0.422;2
1157;0.505;2
1163;0.611;2
1169;0.655;2
1175;0.68;2
1181;5.218;2
1187;0.688;2
1193;0.685;2
1199;0.665;2
1205;0.699;2
1211;0.706;2
1217;0.721;2
1223;0.7;2
1229;0.659;2
1235;0.691;2
1241;0.656;2
1247;0.652;2
1253;0.665;2
1259;0.668;2
1265;0.658;2
1271;0.744;2
1277;0.797;2
1283;0.711;2
1289;0.721;2
1295;1.159;2
1301;0.758;2
1307;0.682;2
1313;0.709;2
1319;0.696;2
1325;0.694;2
1331;0.703;2
1337;0.709;2
1343;0.75;2
1349;0.724;2
1355;0.766;2
1361;0.786;2
1367;0.762;2
1373;0.76;2
1379;0.762;2
1385;0.81;2
1391;0.778;2
1397;0.794;2
1403;1.244;2
1409;1.385;2
1415;1.426;2
1421;1.372;2
1427;0.774;2
1433;0.795;2
1439;0.833;2
1445;0.77;2
1451;0.788;2
1457;0.777;2
1463;0.799;2
1469;0.805;2
1475;0.833;2
1481;0.881;2
1487;0.836;2
1493;0.819;2
1499;0.872;2
1505;0.87;2
1511;0.885;2
1517;0.931;2
1523;0.879;2
1529;0.85;2
1535;0.834;2
1541;0.835;2
1547;0.851;2
1553;0.916;2
1559;0.89;2
1565;0.827;2
1571;0.841;2
1577;0.879;2
1583;0.911;2
1589;0.88;2
1595;0.898;2
1601;0.927;2
1607;1.039;2
1613;1.014;2
1619;0.962;2
1625;0.895;2
1631;0.879;2
1637;0.888;2
1643;0.921;2
1649;0.988;2
1655;0.964;2
1661;1.002;2
1667;0.965;2
1673;0.899;2
1679;0.912;2
1685;0.955;2
1691;0.959;2
1697;0.973;2
1703;1.025;2
1709;1.03;2
1715;3.496;2
1721;0.7;2
1727;0.638;2
1733;0.669;2
1739;0.65;2
1745;0.651;2
1751;0.674;2
1757;0.66;2
1763;0.678;2
1769;0.698;2
1775;0.687;2
1781;0.735;2
1787;0.675;2
1793;0.682;2
1799;0.685;2
1805;0.699;2
1811;0.991;2
1817;0.72;2
1823;0.717;2
1829;0.719;2
1835;0.696;2
1841;0.697;2
1847;0.715;2
1853;0.763;2
1859;0.754;2
1865;0.725;2
1871;0.729;2
1877;0.728;2
1883;0.743;2
1889;0.835;2
1895;1.035;2
1901;0.775;2
1907;0.749;2
1913;0.741;2
1919;0.742;2
1925;0.774;2
1931;0.868;2
1937;0.787;2
1943;0.757;2
1949;0.758;2
1955;0.76;2
1961;0.759;2
1967;0.766;2
1973;0.795;2
1979;0.766;2
1985;0.79;2
1991;0.795;2
1997;0.813;2
2003;0.828;2
2009;0.797;2
2015;0.841;2
2021;0.789;2
2027;1.282;2
2033;1.075;2
2039;1.06;2
2045;1.204;2
2051;1.043;2
2057;1.043;2
2063;1.051;2
2069;1.06;2
2075;1.069;2
2081;1.063;2
2087;1.06;2
2093;1.104;2
2099;1.071;2
2105;1.069;2
2111;1.081;2
2117;1.089;2
2123;1.093;2
2129;1.158;2
2135;1.129;2
2141;1.089;2
2147;1.095;2
2153;1.098;2
2159;1.102;2
2165;1.13;2
2171;1.137;2
2177;1.145;2
2183;1.117;2
2189;1.137;2
2195;1.126;2
2201;1.157;2
2207;1.135;2
2213;1.273;2
2219;3.557;2
2225;1.212;2
2231;1.098;2
2237;1.103;2
2243;1.151;2
