Complexity;Time in ms;Count
11;0.163;2
17;0.135;2
23;0.383;2
29;0.245;2
35;0.288;2
41;0.271;2
47;0.316;2
53;0.254;2
59;0.155;2
65;0.174;2
71;0.212;2
77;0.22;2
83;0.302;2
89;0.241;2
95;0.325;2
101;0.331;2
107;0.344;2
113;0.33;2
119;0.411;2
125;0.36;2
131;0.441;2
137;0.445;2
143;0.324;2
149;0.794;2
155;0.518;2
161;0.626;2
167;0.813;2
173;0.542;2
179;0.816;2
185;0.458;2
191;0.996;2
197;0.559;2
203;1.061;2
209;0.825;2
215;0.623;2
221;0.765;2
227;1.012;2
233;1.467;2
239;1.549;2
245;0.855;2
251;0.545;2
257;1.594;2
263;1.365;2
269;1.193;2
275;0.592;2
281;0.565;2
287;0.252;2
293;0.267;2
299;0.57;2
305;0.519;2
311;0.618;2
317;0.343;2
323;0.645;2
329;0.39;2
335;0.428;2
341;0.669;2
347;0.326;2
353;0.601;2
359;0.528;2
365;0.658;2
371;0.48;2
377;0.724;2
383;0.517;2
389;0.838;2
395;0.995;2
401;0.437;2
407;0.696;2
413;0.767;2
419;1.057;2
425;1.347;2
431;1.061;2
437;0.795;2
443;0.826;2
449;1.577;2
455;0.964;2
461;1.105;2
467;0.778;2
473;1.022;2
479;0.874;2
485;1.39;2
491;1.55;2
497;1.129;2
503;1.373;2
509;0.74;2
515;0.862;2
521;0.795;2
527;2.208;2
533;1.648;2
539;1.554;2
545;1.163;2
551;0.941;2
557;1.114;2
563;0.912;2
569;1.284;2
575;1.817;2
581;1.669;2
587;0.958;2
593;0.959;2
599;1.348;2
605;1.83;2
611;1.613;2
617;0.739;2
623;1.112;2
629;2.166;2
635;1.78;2
641;1.958;2
647;1.362;2
653;2.27;2
659;1.78;2
665;1.536;2
671;1.713;2
677;0.985;2
683;2.029;2
689;1.433;2
695;1.347;2
701;2.028;2
707;2.365;2
713;1.381;2
719;2.508;2
725;2.166;2
731;1.992;2
737;2.411;2
743;2.034;2
749;1.239;2
755;3.178;2
761;1.776;2
767;2.282;2
773;1.622;2
779;2.784;2
785;2.715;2
791;0.895;2
797;3.114;2
803;2.688;2
809;3.891;2
815;5.348;2
821;2.208;2
827;1.884;2
833;1.827;2
839;1.554;2
845;1.711;2
851;3.934;2
857;3.374;2
863;2.116;2
869;2.188;2
875;6.061;2
881;2.534;2
887;1.433;2
893;3.569;2
899;3.935;2
905;2.63;2
911;1.117;2
917;2.691;2
923;4.956;2
929;2.266;2
935;4.287;2
941;1.012;2
947;1.245;2
953;2.479;2
959;5.887;2
965;2.398;2
971;3.799;2
977;3.003;2
983;3.227;2
989;1.106;2
995;2.465;2
1001;3.109;2
1007;4.679;2
1013;3.256;2
1019;4.815;2
1025;3.961;2
1031;4.436;2
1037;3.897;2
1043;6.905;2
1049;3.355;2
1055;5.221;2
1061;2.321;2
1067;6.34;2
1073;2.789;2
1079;6.154;2
1085;3.36;2
1091;3.329;2
1097;4.336;2
1103;6.207;2
1109;3.796;2
1115;5.285;2
1121;4.296;2
1127;5.218;2
1133;6.807;2
1139;8.421;2
1145;3.211;2
1151;6.543;2
1157;6.873;2
1163;5.246;2
1169;1.723;2
1175;5.103;2
1181;5.522;2
1187;8.148;2
1193;2.164;2
1199;6.46;2
1205;5.781;2
1211;5.12;2
1217;6.613;2
1223;6.434;2
1229;6.368;2
1235;6.445;2
1241;5.212;2
1247;11.509;2
1253;4.601;2
1259;7.889;2
1265;5.245;2
1271;5.532;2
1277;4.784;2
1283;5.534;2
1289;1.923;2
1295;3.843;2
1301;7.755;2
1307;5.376;2
1313;5.87;2
1319;6.26;2
1325;5.602;2
1331;4.791;2
1337;8.04;2
1343;10.963;2
1349;6.93;2
1355;6.615;2
1361;3.746;2
1367;8.107;2
1373;9.444;2
1379;6.85;2
1385;5.715;2
1391;6.699;2
1397;8.111;2
1403;7.343;2
1409;11.176;2
1415;8.942;2
1421;8.769;2
1427;8.642;2
1433;5.031;2
1439;2.102;2
1445;11.01;2
1451;6.793;2
1457;7.644;2
1463;12.352;2
1469;5.871;2
1475;8.041;2
1481;7.315;2
1487;7.18;2
1493;12.782;2
1499;8.15;2
1505;8.102;2
1511;7.972;2
1517;6.918;2
1523;8.245;2
1529;1.779;2
1535;9.09;2
1541;7.767;2
1547;5.58;2
1553;6.13;2
1559;9.322;2
1565;8.56;2
1571;6.313;2
1577;9.167;2
1583;9.776;2
1589;15.11;2
1595;8.285;2
1601;8.911;2
1607;7.638;2
1613;6.104;2
1619;4.574;2
1625;11.603;2
1631;7.597;2
1637;5.294;2
1643;9.004;2
1649;10.309;2
1655;4.455;2
1661;12.566;2
1667;9.431;2
1673;12.835;2
1679;13.285;2
1685;13.708;2
1691;11.841;2
1697;16.873;2
1703;6.719;2
1709;5.324;2
1715;8.347;2
1721;6.494;2
1727;5.924;2
1733;11.739;2
1739;9.19;2
