Complexity;Time in ms;Count
11;0.1;2
17;0.09;2
23;0.089;2
29;0.228;2
35;0.077;2
41;0.064;2
47;0.066;2
53;0.073;2
59;0.08;2
65;0.089;2
71;0.105;2
77;0.109;2
83;0.109;2
89;0.133;2
95;0.152;2
101;0.151;2
107;0.079;2
113;0.049;2
119;0.051;2
125;0.054;2
131;0.052;2
137;0.045;2
143;0.049;2
149;0.046;2
155;0.07;2
161;0.05;2
167;0.056;2
173;0.054;2
179;0.056;2
185;0.055;2
191;0.058;2
197;0.064;2
203;0.062;2
209;0.063;2
215;0.064;2
221;0.064;2
227;0.069;2
233;0.067;2
239;0.069;2
245;0.07;2
251;0.072;2
257;0.079;2
263;0.08;2
269;0.082;2
275;0.086;2
281;0.094;2
287;0.086;2
293;0.087;2
299;0.091;2
305;0.093;2
311;0.094;2
317;0.098;2
323;0.101;2
329;0.102;2
335;0.103;2
341;0.1;2
347;0.102;2
353;0.105;2
359;0.157;2
365;0.101;2
371;0.107;2
377;0.105;2
383;0.112;2
389;0.118;2
395;0.124;2
401;0.12;2
407;0.236;2
413;0.173;2
419;0.128;2
425;0.149;2
431;0.143;2
437;0.131;2
443;0.145;2
449;0.149;2
455;0.144;2
461;0.169;2
467;0.15;2
473;0.175;2
479;0.152;2
485;0.161;2
491;0.154;2
497;0.157;2
503;0.153;2
509;0.156;2
515;0.163;2
521;0.163;2
527;0.161;2
533;0.163;2
539;0.166;2
545;0.168;2
551;0.18;2
557;0.169;2
563;0.171;2
569;0.17;2
575;0.174;2
581;0.177;2
587;0.185;2
593;0.177;2
599;0.182;2
605;0.181;2
611;0.186;2
617;0.186;2
623;0.185;2
629;0.191;2
635;0.19;2
641;0.196;2
647;0.245;2
653;0.201;2
659;0.225;2
665;0.21;2
671;0.223;2
677;0.209;2
683;0.223;2
689;0.212;2
695;0.221;2
701;0.212;2
707;0.228;2
713;0.218;2
719;0.225;2
725;0.23;2
731;0.234;2
737;0.231;2
743;0.244;2
749;0.487;2
755;0.262;2
761;0.256;2
767;0.2;2
773;0.299;2
779;0.256;2
785;0.212;2
791;0.299;2
797;0.215;2
803;0.259;2
809;0.306;2
815;0.265;2
821;0.262;2
827;0.29;2
833;0.295;2
839;0.316;2
845;0.341;2
851;0.301;2
857;0.292;2
863;0.284;2
869;0.25;2
875;0.236;2
881;0.248;2
887;0.256;2
893;0.265;2
899;0.261;2
905;0.264;2
911;0.263;2
917;0.268;2
923;0.358;2
929;0.387;2
935;0.388;2
941;0.397;2
947;0.392;2
953;0.381;2
959;0.396;2
965;0.385;2
971;0.389;2
977;0.391;2
983;0.241;2
989;0.083;2
995;0.079;2
1001;0.078;2
1007;0.079;2
1013;0.087;2
1019;0.082;2
1025;0.082;2
1031;0.086;2
1037;0.085;2
1043;0.086;2
1049;0.085;2
1055;0.085;2
1061;0.085;2
1067;0.097;2
1073;0.091;2
1079;0.085;2
1085;0.086;2
1091;0.104;2
1097;0.087;2
1103;0.111;2
1109;0.093;2
1115;0.088;2
1121;0.091;2
1127;0.091;2
1133;0.095;2
1139;0.093;2
1145;0.093;2
1151;0.093;2
1157;0.1;2
1163;0.094;2
1169;0.092;2
